LCD (Å),Sacc (m2/gr),Porosity,Qst-H2 (kJ/mol),%C,%F,%H,%N,%O,%S,%Si,NH2 - 1 bar (mol/kg)
10.12117,4176.67,0.72104,3.1787635159,50,0,31.81818182,9.090909091,9.090909091,0,0,0.0428168649
14.3165,4228.86,0.768927,2.2686472544,50,0,31.81818182,9.090909091,9.090909091,0,0,0.0494199146
13.22338,4043.14,0.748208,2.7238805495,55,0,25,10,10,0,0,0.0448395545
10.07361,4167.17,0.753936,3.1578305674,55,0,25,10,10,0,0,0.0446434198
8.36451,4850.1,0.762965,3.315911354,55,0,25,10,10,0,0,0.0472783603
12.6381,4308.54,0.761512,2.6172100636,55,0,25,10,10,0,0,0.0466721259
9.44867,6004.75,0.78829,2.2496346895,60,0,15,20,5,0,0,0.0503013815
16.75371,3288.66,0.701411,2.532394331,60,0,15,20,5,0,0,0.0464169337
7.81878,3820.09,0.719163,3.5811059215,60,0,15,20,5,0,0,0.0401409444
13.8496,3870.97,0.752798,2.507339999,60,0,15,20,5,0,0,0.0447931331
7.50821,3775.45,0.724434,3.5833863122,60,0,15,20,5,0,0,0.0408449214
9.86602,4657.09,0.73801,2.9272144153,60,0,15,20,5,0,0,0.0426556571
9.70648,6125.43,0.791366,2.0993979756,50,0,31.81818182,9.090909091,9.090909091,0,0,0.0551698825
16.14052,4624.68,0.762425,2.4336338878,50,0,31.81818182,9.090909091,9.090909091,0,0,0.0513165237
12.99251,4562.98,0.77588,2.4222849002,50,0,31.81818182,9.090909091,9.090909091,0,0,0.0504710684
10.91417,4732.29,0.735297,2.7459838816,50,0,31.81818182,9.090909091,9.090909091,0,0,0.0456663545
17.16585,4178.87,0.78751,2.4690913428,52.38095238,0,23.80952381,9.523809524,14.28571429,0,0,0.0498397264
9.01412,3700.06,0.725973,3.3424744343,52.38095238,0,23.80952381,9.523809524,14.28571429,0,0,0.0403847281
8.54569,4081.09,0.727382,3.377994769,52.38095238,0,23.80952381,9.523809524,14.28571429,0,0,0.0411314566
16.68582,4188.54,0.7917,2.4326448739,50,0,20,15,15,0,0,0.0487245361
