LCD (Å),Sacc (m2/gr),Porosity,Qst-CH4 (kJ/mol),%C,%F,%H,%N,%O,%S,%Si,NCH4 - 1 bar (mol/kg)
9.27189,2867.93,0.655065,13.6825173927,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.6602758964
13.24448,4375.1,0.7321,11.1176964735,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.4402489266
17.33286,5320.53,0.795919,11.5828273907,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.5429272848
10.04859,4602.15,0.739138,12.2139369228,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.6704883808
14.18186,4731.75,0.796728,9.8143713303,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.4285989705
8.63469,5227.83,0.753945,12.0976169602,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.720001405
12.33495,5206.13,0.767579,11.322151981,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.5049115139
13.85573,4612.52,0.784287,9.1989271824,50,0,20.83333333,8.333333333,20.83333333,0,0,0.2832991943
16.40723,3065.56,0.712763,12.9572281132,50,0,20.83333333,8.333333333,20.83333333,0,0,0.4836531494
16.41862,4281.72,0.789444,8.5728731631,50,0,20.83333333,8.333333333,20.83333333,0,0,0.2600952044
10.14241,6438.99,0.767339,8.379143902,50,0,37.5,8.333333333,4.166666667,0,0,0.3225492355
15.19196,5707.02,0.796664,8.6046098543,50,0,37.5,8.333333333,4.166666667,0,0,0.3245656139
16.80339,4139.24,0.720525,10.1931356243,50,0,37.5,8.333333333,4.166666667,0,0,0.3771617942
13.25046,4481.51,0.755347,10.7456081197,50,0,30,15,5,0,0,0.4305635164
10.39052,4780.42,0.760519,11.665464934,50,0,30,15,5,0,0,0.6585412831
8.42145,5427.34,0.775359,11.984516854,50,0,30,15,5,0,0,0.7323386885
6.02695,590.924,0.245682,16.9814583424,50,0,30,15,5,0,0,0.3473904502
10.04031,3938.69,0.752842,13.3681632585,57.89473684,0,21.05263158,15.78947368,5.263157895,0,0,0.6302457103
8.63809,4969.6,0.770626,12.4093727408,57.89473684,0,21.05263158,15.78947368,5.263157895,0,0,0.7336619865
10.96297,4893.27,0.774887,12.0418176242,57.89473684,0,21.05263158,15.78947368,5.263157895,0,0,0.5145395035
16.24837,5190.94,0.776983,10.6377527324,50,0,31.81818182,9.090909091,9.090909091,0,0,0.4061811454
10.12117,4176.67,0.72104,12.4657627171,50,0,31.81818182,9.090909091,9.090909091,0,0,0.6645546911
14.3165,4228.86,0.768927,9.7739455899,50,0,31.81818182,9.090909091,9.090909091,0,0,0.36499614
13.22338,4043.14,0.748208,11.3630102055,55,0,25,10,10,0,0,0.4517952123
10.07361,4167.17,0.753936,13.3710680354,55,0,25,10,10,0,0,0.6960690517
8.36451,4850.1,0.762965,12.7277034725,55,0,25,10,10,0,0,0.7774302678
12.6381,4308.54,0.761512,11.8474653826,55,0,25,10,10,0,0,0.4783427328
9.44867,6004.75,0.78829,8.8007001487,60,0,15,20,5,0,0,0.3226388782
16.75371,3288.66,0.701411,14.6140086703,60,0,15,20,5,0,0,0.5769545647
7.81878,3820.09,0.719163,15.3309338406,60,0,15,20,5,0,0,0.8125007998
13.8496,3870.97,0.752798,11.0359806141,60,0,15,20,5,0,0,0.3971594434
7.50821,3775.45,0.724434,13.8164326904,60,0,15,20,5,0,0,0.8062942181
9.86602,4657.09,0.73801,12.6141865437,60,0,15,20,5,0,0,0.5284282745
9.70648,6125.43,0.791366,8.0795317362,50,0,31.81818182,9.090909091,9.090909091,0,0,0.3215432224
16.14052,4624.68,0.762425,12.5601587927,50,0,31.81818182,9.090909091,9.090909091,0,0,0.5483570974
12.99251,4562.98,0.77588,10.6356934982,50,0,31.81818182,9.090909091,9.090909091,0,0,0.4536905053
10.91417,4732.29,0.735297,12.362372324,50,0,31.81818182,9.090909091,9.090909091,0,0,0.5070444021
17.16585,4178.87,0.78751,13.0031019619,52.38095238,0,23.80952381,9.523809524,14.28571429,0,0,0.5633136783
9.01412,3700.06,0.725973,14.5270100485,52.38095238,0,23.80952381,9.523809524,14.28571429,0,0,0.7301594026
8.54569,4081.09,0.727382,12.2948042238,52.38095238,0,23.80952381,9.523809524,14.28571429,0,0,0.6349959523
16.68582,4188.54,0.7917,12.8402330787,50,0,20,15,15,0,0,0.5588145898
8.61807,3926.58,0.737517,11.9691100334,50,0,20,15,15,0,0,0.5848683217
7.7023,4380.51,0.793794,10.8375485782,50,0,20,15,15,0,0,0.6171828614
12.22795,3900.95,0.749426,11.2603811274,50,0,20,15,15,0,0,0.3931285494
10.00499,5885.86,0.780562,8.5045867212,52.17391304,0,30.43478261,8.695652174,8.695652174,0,0,0.3352548131
16.06957,4195.2,0.750658,13.809098565,52.17391304,0,30.43478261,8.695652174,8.695652174,0,0,0.5920364815
13.43123,4043.39,0.748858,9.7794199025,52.17391304,0,30.43478261,8.695652174,8.695652174,0,0,0.3479774552
10.67615,4317.22,0.714711,12.3019615319,52.17391304,0,30.43478261,8.695652174,8.695652174,0,0,0.4963643009
9.11887,6596.8,0.755548,8.6403109021,53.84615385,0,42.30769231,0,3.846153846,0,0,0.3517998913
15.11791,5936.36,0.777407,8.8116106984,53.84615385,0,42.30769231,0,3.846153846,0,0,0.3245313582
16.87609,4459.23,0.729074,12.9383136433,53.84615385,0,42.30769231,0,3.846153846,0,0,0.5156089443
13.14037,4584.44,0.734537,13.427973741,53.84615385,0,42.30769231,0,3.846153846,0,0,0.6583663101
9.08563,5752.07,0.726466,9.7357390298,46.15384615,0,34.61538462,7.692307692,11.53846154,0,0,0.3435617045
15.52706,5108.63,0.762644,9.7003143939,46.15384615,0,34.61538462,7.692307692,11.53846154,0,0,0.3305159851
14.32205,3951.88,0.692535,14.1513762054,46.15384615,0,34.61538462,7.692307692,11.53846154,0,0,0.6151088414
18.79998,4883.64,0.771318,8.1365990564,46.15384615,0,34.61538462,7.692307692,11.53846154,0,0,0.253018788
7.17214,3600.61,0.633471,12.6690196696,46.15384615,0,34.61538462,7.692307692,11.53846154,0,0,0.5955490674
9.91532,5660.21,0.798442,8.3152544317,50,0,27.27272727,13.63636364,9.090909091,0,0,0.3342165516
15.71949,4684.8,0.77764,12.4654026121,50,0,27.27272727,13.63636364,9.090909091,0,0,0.4965374945
7.78339,4389.39,0.774792,11.7182877223,50,0,27.27272727,13.63636364,9.090909091,0,0,0.7423467095
9.83931,4559.25,0.739815,12.1806528604,50,0,27.27272727,13.63636364,9.090909091,0,0,0.5253126302
15.77906,3234.09,0.701449,13.7415881135,50,0,20.83333333,8.333333333,20.83333333,0,0,0.49590683
6.37141,2763.32,0.600739,16.0404926672,50,0,20.83333333,8.333333333,20.83333333,0,0,0.8529839551
17.19747,4332.73,0.796908,8.7208770668,50,0,20.83333333,8.333333333,20.83333333,0,0,0.2732836736
17.17109,2454.89,0.661325,23.8780145772,44.82758621,0,37.93103448,13.79310345,3.448275862,0,0,0.9045074877
11.34401,5551.43,0.780603,9.6709226881,44.82758621,0,37.93103448,13.79310345,3.448275862,0,0,0.396189518
10.04078,5437.09,0.767167,9.098679389,50,0,29.16666667,8.333333333,12.5,0,0,0.3527446538
14.40549,4837.21,0.778683,10.2434795952,50,0,29.16666667,8.333333333,12.5,0,0,0.3677217389
16.48188,3787.41,0.734774,13.3115899984,50,0,29.16666667,8.333333333,12.5,0,0,0.4565807335
9.64668,4144.31,0.692535,12.5463363954,50,0,29.16666667,8.333333333,12.5,0,0,0.505070429
9.34382,5084.49,0.730592,9.6380726884,48.14814815,0,33.33333333,7.407407407,11.11111111,0,0,0.3792398775
14.7429,2693.58,0.647349,9.3605716556,48.14814815,0,33.33333333,7.407407407,11.11111111,0,0,0.2136425235
13.5563,3386.84,0.668824,11.805815747,48.14814815,0,33.33333333,7.407407407,11.11111111,0,0,0.3663800433
7.70041,2988.38,0.630697,12.9306113269,48.14814815,0,33.33333333,7.407407407,11.11111111,0,0,0.5328468108
12.43448,4968.13,0.798242,10.0353693945,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.4349297175
12.0894,4611.52,0.786277,11.8870602345,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.5952047799
7.27711,1168.24,0.444504,14.5921020525,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.3937681202
15.62771,4153.96,0.7919,10.9290450279,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.4382041716
9.22895,2904.17,0.657944,13.8368725819,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.6603313174
12.80099,4586.04,0.736051,11.1439951659,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.462807478
16.29204,5614.88,0.79807,9.8897459772,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.4276038553
9.96722,4653.11,0.736432,13.1281270042,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.6625804133
13.83305,4839.36,0.787544,9.7188085302,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.4056885749
8.29751,5161.26,0.736357,11.8042187204,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.6356952431
11.82111,4933,0.757472,11.034915783,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.4669976239
11.45317,5256.32,0.766738,12.1666706429,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.5330590589
10.60732,5944.5,0.793857,8.1412092604,50,0,31.81818182,9.090909091,9.090909091,0,0,0.3251987272
16.31905,4659.11,0.769207,12.4857547765,50,0,31.81818182,9.090909091,9.090909091,0,0,0.575976467
9.23145,4240.6,0.704314,12.8515887022,50,0,31.81818182,9.090909091,9.090909091,0,0,0.692215135
12.85775,4512.99,0.76132,10.6982994344,50,0,31.81818182,9.090909091,9.090909091,0,0,0.433185163
10.65009,4743.69,0.737906,12.491531973,50,0,31.81818182,9.090909091,9.090909091,0,0,0.5156850427
10.38865,5363.67,0.752067,8.9800432324,52,0,36,8,4,0,0,0.3486472231
12.80956,6064.02,0.795351,7.7243076008,52,0,36,8,4,0,0,0.3184687198
16.05001,4049.87,0.719442,14.0224563828,52,0,36,8,4,0,0,0.5669565697
7.89975,3939.32,0.653421,14.3413469198,52,0,36,8,4,0,0,0.7503588747
10.71196,4800.08,0.74573,9.4713986112,52,0,36,8,4,0,0,0.3547150365
13.75508,4603.63,0.780409,9.2498418415,50,0,20.83333333,8.333333333,20.83333333,0,0,0.2811590869
15.79589,3049.27,0.699729,11.4785072804,50,0,20.83333333,8.333333333,20.83333333,0,0,0.3731405042
12.50483,3191.46,0.722208,13.9632323667,50,0,20.83333333,8.333333333,20.83333333,0,0,0.5192395875
6.04989,3586.85,0.696485,13.3409308221,50,0,20.83333333,8.333333333,20.83333333,0,0,0.7906648222
13.02143,5430.38,0.734402,8.940670814,45.16129032,0,41.93548387,6.451612903,6.451612903,0,0,0.3260489878
15.9932,3128.52,0.626327,16.8836741784,45.16129032,0,41.93548387,6.451612903,6.451612903,0,0,0.7350901831
13.07808,4859.92,0.756378,8.457047998,45.16129032,0,41.93548387,6.451612903,6.451612903,0,0,0.2977784887
12.84576,4952.98,0.799933,9.4467433632,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.4110940929
7.85573,1708.18,0.539031,14.0822956214,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.3973820276
12.51457,4643.49,0.790955,11.7891956538,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.6077218311
7.10339,764.537,0.299259,14.8205249377,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.3848822954
9.08813,5265.23,0.760126,12.0947202222,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.7115272881
11.75982,5338.33,0.773882,12.1186660825,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.5429832008
10.36668,5446.94,0.794148,9.7051439681,58.33333333,0,29.16666667,8.333333333,4.166666667,0,0,0.447890339
15.77751,4757.49,0.794111,13.687660097,58.33333333,0,29.16666667,8.333333333,4.166666667,0,0,0.8084930994
