PLD (Å),LCD (Å),Sacc (m2/gr),Porosity,Density (gr/cm3),Qst-H2 (kJ/mol),%C,%F,%H,%N,%O,%S,%Si,NH2 - 1 bar (mol/kg)
5.2374,6.37141,2763.32,0.600739,0.71685532,3.8467772738,50,0,20.83333333,8.333333333,20.83333333,0,0,0.0316588574
13.7351,17.19747,4332.73,0.796908,0.428908232,1.873601467,50,0,20.83333333,8.333333333,20.83333333,0,0,0.0500791223
15.31642,17.17109,2454.89,0.661325,0.5191851,2.7623305867,44.82758621,0,37.93103448,13.79310345,3.448275862,0,0,0.0369349628
10.726,11.34401,5551.43,0.780603,0.40693187,2.2155960089,44.82758621,0,37.93103448,13.79310345,3.448275862,0,0,0.0543096337
7.88465,10.04078,5437.09,0.767167,0.467323427,2.3072490787,50,0,29.16666667,8.333333333,12.5,0,0,0.0483613189
8.74307,14.40549,4837.21,0.778683,0.427805187,2.133774525,50,0,29.16666667,8.333333333,12.5,0,0,0.050835435
15.06697,16.48188,3787.41,0.734774,0.486878632,2.5042125416,50,0,29.16666667,8.333333333,12.5,0,0,0.044393869
6.13609,9.64668,4144.31,0.692535,0.563490211,2.9766131931,50,0,29.16666667,8.333333333,12.5,0,0,0.0393520288
7.5105,9.34382,5084.49,0.730592,0.4946387,2.4474403822,48.14814815,0,33.33333333,7.407407407,11.11111111,0,0,0.0448172561
12.19801,14.7429,2693.58,0.647349,0.527135121,2.3089815288,48.14814815,0,33.33333333,7.407407407,11.11111111,0,0,0.0353523088
10.72007,13.5563,3386.84,0.668824,0.547561211,2.6581127195,48.14814815,0,33.33333333,7.407407407,11.11111111,0,0,0.0360533094
7.25285,7.70041,2988.38,0.630697,0.654180257,3.500815165,48.14814815,0,33.33333333,7.407407407,11.11111111,0,0,0.0328678591
10.54884,12.43448,4968.13,0.798242,0.44560492,2.430182154,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.0540308025
7.5458,12.0894,4611.52,0.786277,0.485244172,2.8189191484,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.0499920012
6.25853,7.27711,1168.24,0.444504,0.840939574,4.5022790319,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.021783895
