PLD (Å),LCD (Å),Sacc (m2/gr),Porosity,Density (gr/cm3),NCH4 - 10 bar (mol/kg)
10.72007,13.5563,3386.84,0.668824,0.547561211,2.9903648604
7.25285,7.70041,2988.38,0.630697,0.654180257,3.6826741905
10.54884,12.43448,4968.13,0.798242,0.44560492,3.9623412126
7.5458,12.0894,4611.52,0.786277,0.485244172,4.8917481434
6.25853,7.27711,1168.24,0.444504,0.840939574,2.6374735138
11.9835,15.62771,4153.96,0.7919,0.423612226,3.6841765644
7.57328,9.22895,2904.17,0.657944,0.635418339,4.9927466569
10.59124,12.80099,4586.04,0.736051,0.48138749,3.85578931
14.70641,16.29204,5614.88,0.79807,0.39294651,3.7662362846
6.49558,9.96722,4653.11,0.736432,0.512132604,5.1355483599
11.6654,13.83305,4839.36,0.787544,0.419246857,3.7393530099
6.18787,8.29751,5161.26,0.736357,0.527046091,5.3180905197
9.21894,11.82111,4933,0.757472,0.456293533,3.9120950618
8.81242,11.45317,5256.32,0.766738,0.447822947,4.0844859801
8.71726,10.60732,5944.5,0.793857,0.409021972,3.054966546
15.26464,16.31905,4659.11,0.769207,0.434328774,4.0356215141
5.42406,9.23145,4240.6,0.704314,0.566371237,5.3202479614
10.81839,12.85775,4512.99,0.76132,0.456006126,3.724985537
6.94826,10.65009,4743.69,0.737906,0.49510379,4.0750328065
9.21065,10.38865,5363.67,0.752067,0.429531981,3.2779634925
9.07041,12.80956,6064.02,0.795351,0.371591289,3.0767398639
15.09237,16.05001,4049.87,0.719442,0.452702468,3.7824487596
5.09293,7.89975,3939.32,0.653421,0.585984834,4.9737922488
9.51042,10.71196,4800.08,0.74573,0.447175107,3.2579378413
9.69994,13.75508,4603.63,0.780409,0.443588026,2.5832190741
14.98145,15.79589,3049.27,0.699729,0.544989648,2.663282653
9.55182,12.50483,3191.46,0.722208,0.570793776,3.6433286752
5.66894,6.04989,3586.85,0.696485,0.687474619,5.9045053698
8.4755,13.02143,5430.38,0.734402,0.425874651,3.0283822963
13.58528,15.9932,3128.52,0.626327,0.515279731,3.9217848637
12.62629,13.07808,4859.92,0.756378,0.408945503,2.7812821704
10.53008,12.84576,4952.98,0.799933,0.446709996,3.8227912743
7.18797,7.85573,1708.18,0.539031,0.686939478,2.9901169839
7.74551,12.51457,4643.49,0.790955,0.482399914,4.984919988
6.54077,7.10339,764.537,0.299259,0.838751987,2.5289754688
6.20208,9.08813,5265.23,0.760126,0.525258001,6.1397557393
8.68201,11.75982,5338.33,0.773882,0.447635152,4.3515891224
7.93522,10.36668,5446.94,0.794148,0.448399789,3.9850044876
13.51337,15.77751,4757.49,0.794111,0.465899417,4.9781559018
10.47233,12.66675,4486.09,0.756779,0.484696035,3.5784885619
6.2007,9.60536,4402.79,0.751258,0.524333287,4.7039665987
6.18126,9.04255,5318.29,0.776421,0.528087381,5.5765679726
4.11228,6.13197,528.262,0.245763,0.91302795,1.6109306865
9.0204,13.38564,5063.84,0.786182,0.453704309,3.923707159
12.46095,15.33616,4718.33,0.767933,0.453469625,4.2929878824
7.64776,11.06458,4346.68,0.727254,0.521744937,4.0877486565
8.48667,10.78262,4674.83,0.782604,0.439199115,4.7837384458
9.17161,11.03796,5036.92,0.760588,0.433577036,4.1790242043
6.95131,12.20632,4627.65,0.768234,0.46786711,5.2157631396
7.64382,8.83153,5863.3,0.793351,0.472669339,6.5341764977
6.18142,6.5801,766.891,0.306524,0.817428961,2.4244376966
11.19964,15.1194,4767.2,0.781052,0.409927401,4.1762087217
7.47094,8.6849,3158.55,0.623112,0.614891101,5.626391724
14.90151,16.9875,4864.18,0.793939,0.427460742,4.1818928349
6.29834,10.01809,4312.27,0.731436,0.552431942,5.4206170939
11.2912,13.9143,4777.94,0.781068,0.444985046,4.147502286
9.73262,15.07407,6137.25,0.795334,0.338689065,2.9959592625
15.3033,16.48861,4719.62,0.724251,0.414229437,3.6203388888
8.07557,10.03963,2655.19,0.799791,0.66420708,6.1662209056
5.16779,6.95787,3991.91,0.734987,0.609847397,8.1365501293
8.88422,14.71155,3827.93,0.772975,0.491133458,3.7386547846
8.71767,14.32862,5370.45,0.799677,0.400300772,3.7041412536
4.37527,5.56825,2412.19,0.631795,0.745798422,10.1065150107
4.33419,6.19935,2063.82,0.584518,0.738643572,5.3865546814
4.19894,5.82412,1984.88,0.58906,0.776418301,5.5434687793
6.65702,8.93342,4927.86,0.786268,0.495246322,5.2676629885
8.56833,11.30642,5101.5,0.759057,0.454843021,3.9100666844
13.18543,16.52827,5148.16,0.786485,0.377540202,3.3221309746
9.82867,10.47289,4400.46,0.700415,0.503386936,3.6849067898
10.14111,12.89294,4342.9,0.765185,0.458903075,3.1783205884
8.17951,9.20646,4760.8,0.755374,0.507400262,4.4533453734
10.83758,11.40401,6535.41,0.793695,0.349052678,3.5436035079
9.60544,11.85963,6248.68,0.799213,0.401595706,3.1660382486
9.37936,10.49863,7474.91,0.783877,0.342758175,3.3800025945
8.75228,9.98144,5514.34,0.783031,0.464287322,2.9844398073
9.39134,12.57045,6070.74,0.796652,0.380074525,3.7071118841
8.72137,9.38148,6023.24,0.779741,0.418396097,4.2570724218
7.00169,8.52582,4639.65,0.783416,0.534314079,5.5704700254
10.01545,14.33177,5631.1,0.792303,0.382295422,3.6583730298
7.83116,9.96643,5386.01,0.749133,0.45323979,3.9679260654
9.40703,11.76282,5383.49,0.789758,0.440260266,4.0737187431
8.34516,9.79431,5324.91,0.780421,0.484651686,5.3510065578
10.23699,10.5288,4908.58,0.779783,0.465911056,4.1004204276
8.28973,10.06913,5006.43,0.774335,0.511334913,5.6006178941
9.4407,11.21532,5947.59,0.767789,0.40138095,3.8957228939
6.37449,8.37947,6551.32,0.764581,0.439034447,5.9057029671
8.4957,10.34588,5749.08,0.770656,0.419344575,3.5865207268
8.74572,10.25312,4269.12,0.724843,0.537834779,5.2409836776
8.51526,11.98256,6646.58,0.792019,0.354190759,3.3868737539
7.63928,8.90636,5953.43,0.76825,0.416863974,3.9432123184
8.76685,10.28615,3760.89,0.739378,0.588787193,5.2876775072
10.06536,18.51882,4346.96,0.790461,0.376846834,2.5331081096
8.78197,9.71461,6289.84,0.790722,0.427147471,4.4712536131
6.53823,8.56222,4557.82,0.748663,0.551435989,4.6220045559
9.6878,11.13627,6066.94,0.772337,0.409054734,4.1459817616
6.99856,8.80846,5968.99,0.762271,0.451342903,4.9601739671
9.09081,10.14277,5841.43,0.78157,0.455837041,4.8580792715
12.49851,13.66211,4825.95,0.767321,0.469208345,3.959793625
10.41657,12.9718,4738.88,0.781417,0.443475154,3.291344012
