PLD (Å),LCD (Å),Sacc (m2/gr),Porosity,Density (gr/cm3),Qst-CH4 (kJ/mol),%C,%F,%H,%N,%O,%S,%Si,NCH4 - 1 bar (mol/kg)
8.38733,12.6381,4308.54,0.761512,0.489577668,11.8474653826,55,0,25,10,10,0,0,0.4783427328
8.45207,9.44867,6004.75,0.78829,0.449567103,8.8007001487,60,0,15,20,5,0,0,0.3226388782
15.03344,16.75371,3288.66,0.701411,0.475147476,14.6140086703,60,0,15,20,5,0,0,0.5769545647
6.31609,7.81878,3820.09,0.719163,0.616039826,15.3309338406,60,0,15,20,5,0,0,0.8125007998
10.24002,13.8496,3870.97,0.752798,0.496221798,11.0359806141,60,0,15,20,5,0,0,0.3971594434
6.3356,7.50821,3775.45,0.724434,0.624151198,13.8164326904,60,0,15,20,5,0,0,0.8062942181
7.07063,9.86602,4657.09,0.73801,0.542130719,12.6141865437,60,0,15,20,5,0,0,0.5284282745
7.70338,9.70648,6125.43,0.791366,0.4091793,8.0795317362,50,0,31.81818182,9.090909091,9.090909091,0,0,0.3215432224
15.15249,16.14052,4624.68,0.762425,0.434566154,12.5601587927,50,0,31.81818182,9.090909091,9.090909091,0,0,0.5483570974
10.57866,12.99251,4562.98,0.77588,0.454659751,10.6356934982,50,0,31.81818182,9.090909091,9.090909091,0,0,0.4536905053
7.59184,10.91417,4732.29,0.735297,0.492458855,12.362372324,50,0,31.81818182,9.090909091,9.090909091,0,0,0.5070444021
15.28375,17.16585,4178.87,0.78751,0.463652739,13.0031019619,52.38095238,0,23.80952381,9.523809524,14.28571429,0,0,0.5633136783
6.66034,9.01412,3700.06,0.725973,0.598825534,14.5270100485,52.38095238,0,23.80952381,9.523809524,14.28571429,0,0,0.7301594026
6.14486,8.54569,4081.09,0.727382,0.610296646,12.2948042238,52.38095238,0,23.80952381,9.523809524,14.28571429,0,0,0.6349959523
15.20779,16.68582,4188.54,0.7917,0.466993376,12.8402330787,50,0,20,15,15,0,0,0.5588145898
6.08038,8.61807,3926.58,0.737517,0.613501248,11.9691100334,50,0,20,15,15,0,0,0.5848683217
7.26292,7.7023,4380.51,0.793794,0.577494352,10.8375485782,50,0,20,15,15,0,0,0.6171828614
8.78976,12.22795,3900.95,0.749426,0.530911893,11.2603811274,50,0,20,15,15,0,0,0.3931285494
7.42284,10.00499,5885.86,0.780562,0.433870465,8.5045867212,52.17391304,0,30.43478261,8.695652174,8.695652174,0,0,0.3352548131
15.23926,16.06957,4195.2,0.750658,0.458928126,13.809098565,52.17391304,0,30.43478261,8.695652174,8.695652174,0,0,0.5920364815
10.61233,13.43123,4043.39,0.748858,0.480393431,9.7794199025,52.17391304,0,30.43478261,8.695652174,8.695652174,0,0,0.3479774552
7.48489,10.67615,4317.22,0.714711,0.523110189,12.3019615319,52.17391304,0,30.43478261,8.695652174,8.695652174,0,0,0.4963643009
8.43009,9.11887,6596.8,0.755548,0.392001757,8.6403109021,53.84615385,0,42.30769231,0,3.846153846,0,0,0.3517998913
9.56437,15.11791,5936.36,0.777407,0.336746026,8.8116106984,53.84615385,0,42.30769231,0,3.846153846,0,0,0.3245313582
14.70438,16.87609,4459.23,0.729074,0.41509472,12.9383136433,53.84615385,0,42.30769231,0,3.846153846,0,0,0.5156089443
10.61246,13.14037,4584.44,0.734537,0.432820866,13.427973741,53.84615385,0,42.30769231,0,3.846153846,0,0,0.6583663101
