PLD (Å),LCD (Å),Sacc (m2/gr),Porosity,Density (gr/cm3),Qst-CH4 (kJ/mol),%C,%F,%H,%N,%O,%S,%Si,NCH4 - 0.1 bar (mol/kg)
15.61169,17.72418,3041.12,0.705337,0.501160887,17.6367877846,56,0,28,8,8,0,0,0.0922282325
8.46009,10.07194,6327.4,0.76439,0.391280867,8.782693051,53.84615385,0,42.30769231,0,3.846153846,0,0,0.0382947923
10.02075,16.0516,5816.12,0.789562,0.337437655,8.8052343177,53.84615385,0,42.30769231,0,3.846153846,0,0,0.0350175264
15.62545,16.86993,4330.63,0.724742,0.413953108,10.5675836674,53.84615385,0,42.30769231,0,3.846153846,0,0,0.0429997208
5.27107,8.64367,4417.82,0.671352,0.534053853,13.7845637149,53.84615385,0,42.30769231,0,3.846153846,0,0,0.08786494
7.76744,9.68497,4821.27,0.720738,0.496331411,10.949293602,51.72413793,0,34.48275862,10.34482759,3.448275862,0,0,0.047304245
8.83594,11.90628,5060.82,0.766058,0.430534328,8.8467488958,51.72413793,0,34.48275862,10.34482759,3.448275862,0,0,0.0360461997
13.305,15.61072,3374.83,0.712746,0.524607383,16.4588568388,51.72413793,0,34.48275862,10.34482759,3.448275862,0,0,0.1145612533
15.07776,16.97318,2437.52,0.669652,0.572958381,15.3357253294,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,0.0715205195
9.41748,18.29188,4849.69,0.75216,0.441917303,9.8231154277,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,0.0426685784
12.03081,13.0954,4119.41,0.739634,0.456326027,10.1131934038,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,0.0395499732
8.88779,11.40361,5072.6,0.770498,0.433367103,8.802503313,53.57142857,0,32.14285714,7.142857143,7.142857143,0,0,0.0344964051
14.23785,15.76976,2911.04,0.617605,0.528108223,19.2948626935,53.57142857,0,32.14285714,7.142857143,7.142857143,0,0,0.1177808293
7.1197,10.6722,4243.57,0.69112,0.479022944,9.7138602021,50,0,41.66666667,5.555555556,2.777777778,0,0,0.0368853628
8.84794,11.42435,4362.17,0.776293,0.483275663,9.0828283776,53.57142857,0,25,7.142857143,14.28571429,0,0,0.0340587913
15.01083,16.41252,2368.43,0.652135,0.591612452,22.2289148256,53.57142857,0,25,7.142857143,14.28571429,0,0,0.1703707432
11.83476,18.78535,4631.14,0.795893,0.452761373,9.1586996706,53.57142857,0,25,7.142857143,14.28571429,0,0,0.03562981
8.65804,10.50024,5104.79,0.78067,0.471010042,10.0900543885,56,0,28,8,8,0,0,0.0444069241
15.61656,17.68665,3137.08,0.740725,0.501191111,15.899512885,56,0,28,8,8,0,0,0.0696516682
8.26149,11.04798,4521.36,0.794035,0.452141474,12.0684476618,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.0544556964
11.36155,13.31832,4721.57,0.79973,0.445706032,9.7844467745,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.0413648075
6.85557,12.52789,4534.95,0.782229,0.484085146,11.6465405399,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.0646519956
6.2617,7.1897,1150.61,0.459956,0.839702184,14.3845615407,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.0402356057
11.62349,15.41183,4173.77,0.793117,0.422532889,10.9361401887,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.0462857255
7.72116,9.27189,2867.93,0.655065,0.633799334,13.6825173927,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.0672410004
11.24348,13.24448,4375.1,0.7321,0.482300304,11.1176964735,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.0451000436
15.39256,17.33286,5320.53,0.795919,0.398646734,11.5828273907,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.0565794085
5.53172,10.04859,4602.15,0.739138,0.52404106,12.2139369228,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.0710789481
11.8459,14.18186,4731.75,0.796728,0.417679398,9.8143713303,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.043313101
6.62192,8.63469,5227.83,0.753945,0.525001068,12.0976169602,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.0726078716
9.76,12.33495,5206.13,0.767579,0.448287274,11.322151981,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.0511944135
9.48302,13.85573,4612.52,0.784287,0.442860506,9.1989271824,50,0,20.83333333,8.333333333,20.83333333,0,0,0.0283773086
13.81446,16.40723,3065.56,0.712763,0.54857066,12.9572281132,50,0,20.83333333,8.333333333,20.83333333,0,0,0.0508805867
13.86454,16.41862,4281.72,0.789444,0.41846396,8.5728731631,50,0,20.83333333,8.333333333,20.83333333,0,0,0.0261172093
9.26778,10.14241,6438.99,0.767339,0.403155887,8.379143902,50,0,37.5,8.333333333,4.166666667,0,0,0.032919655
9.92651,15.19196,5707.02,0.796664,0.348397409,8.6046098543,50,0,37.5,8.333333333,4.166666667,0,0,0.0325690666
15.47522,16.80339,4139.24,0.720525,0.422658048,10.1931356243,50,0,37.5,8.333333333,4.166666667,0,0,0.0390687067
11.26516,13.25046,4481.51,0.755347,0.483676307,10.7456081197,50,0,30,15,5,0,0,0.0428877361
