LCD (Å),Sacc (m2/gr),Porosity,Qst-CH4 (kJ/mol),%C,%F,%H,%N,%O,%S,%Si,NCH4 - 10 bar (mol/kg)
8.83803,3763.94,0.707161,14.2481248507,58.33333333,0,29.16666667,8.333333333,4.166666667,0,0,6.4385759758
10.37349,5195.64,0.753679,10.6137652856,55.55555556,0,33.33333333,7.407407407,3.703703704,0,0,4.1271796004
11.99284,5519.02,0.792607,8.6193400638,55.55555556,0,33.33333333,7.407407407,3.703703704,0,0,3.5293999797
17.69571,2970.59,0.694533,14.4790450771,55.55555556,0,33.33333333,7.407407407,3.703703704,0,0,3.8274139946
11.85863,4500.14,0.785639,9.5628519372,60,0,30,6.666666667,3.333333333,0,0,4.1051470266
15.38337,2959.07,0.712574,18.3839511542,60,0,30,6.666666667,3.333333333,0,0,4.9435006307
10.03221,4703.42,0.707404,11.5423628068,53.33333333,0,36.66666667,6.666666667,3.333333333,0,0,4.2281259265
11.57419,4905.08,0.760057,8.9356628515,53.33333333,0,36.66666667,6.666666667,3.333333333,0,0,3.4968665435
17.16632,2652.54,0.661722,20.772354464,53.33333333,0,36.66666667,6.666666667,3.333333333,0,0,4.3372598806
18.58171,5333.83,0.77759,9.0800762666,53.33333333,0,36.66666667,6.666666667,3.333333333,0,0,3.5543800839
10.30895,5443.24,0.779017,10.2372655153,56,0,28,8,8,0,0,3.8309192479
17.72418,3041.12,0.705337,17.6367877846,56,0,28,8,8,0,0,4.1939946585
10.07194,6327.4,0.76439,8.782693051,53.84615385,0,42.30769231,0,3.846153846,0,0,3.4265395846
16.0516,5816.12,0.789562,8.8052343177,53.84615385,0,42.30769231,0,3.846153846,0,0,3.1431541201
16.86993,4330.63,0.724742,10.5675836674,53.84615385,0,42.30769231,0,3.846153846,0,0,3.4262301318
8.64367,4417.82,0.671352,13.7845637149,53.84615385,0,42.30769231,0,3.846153846,0,0,5.986316361
9.68497,4821.27,0.720738,10.949293602,51.72413793,0,34.48275862,10.34482759,3.448275862,0,0,3.8828502504
11.90628,5060.82,0.766058,8.8467488958,51.72413793,0,34.48275862,10.34482759,3.448275862,0,0,3.4346887884
15.61072,3374.83,0.712746,16.4588568388,51.72413793,0,34.48275862,10.34482759,3.448275862,0,0,4.2951225082
16.97318,2437.52,0.669652,15.3357253294,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,3.6408360485
18.29188,4849.69,0.75216,9.8231154277,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,3.8346608997
13.0954,4119.41,0.739634,10.1131934038,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,3.5135065034
11.40361,5072.6,0.770498,8.802503313,53.57142857,0,32.14285714,7.142857143,7.142857143,0,0,3.3736562625
15.76976,2911.04,0.617605,19.2948626935,53.57142857,0,32.14285714,7.142857143,7.142857143,0,0,3.8509536141
10.6722,4243.57,0.69112,9.7138602021,50,0,41.66666667,5.555555556,2.777777778,0,0,3.4135390063
11.42435,4362.17,0.776293,9.0828283776,53.57142857,0,25,7.142857143,14.28571429,0,0,3.2743863984
16.41252,2368.43,0.652135,22.2289148256,53.57142857,0,25,7.142857143,14.28571429,0,0,4.1384740711
18.78535,4631.14,0.795893,9.1586996706,53.57142857,0,25,7.142857143,14.28571429,0,0,3.3245219016
10.50024,5104.79,0.78067,10.0900543885,56,0,28,8,8,0,0,3.6406769294
17.68665,3137.08,0.740725,15.899512885,56,0,28,8,8,0,0,3.7864326106
11.04798,4521.36,0.794035,12.0684476618,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,4.1893107634
13.31832,4721.57,0.79973,9.7844467745,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,3.8698690575
12.52789,4534.95,0.782229,11.6465405399,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,4.8044670833
7.1897,1150.61,0.459956,14.3845615407,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,2.4814947292
15.41183,4173.77,0.793117,10.9361401887,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,3.7227680154
9.27189,2867.93,0.655065,13.6825173927,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,5.0334225512
13.24448,4375.1,0.7321,11.1176964735,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,3.7304602338
17.33286,5320.53,0.795919,11.5828273907,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,4.2592561716
10.04859,4602.15,0.739138,12.2139369228,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,5.4095817689
14.18186,4731.75,0.796728,9.8143713303,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,3.858738405
8.63469,5227.83,0.753945,12.0976169602,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,5.9619186975
12.33495,5206.13,0.767579,11.322151981,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,4.0620020624
13.85573,4612.52,0.784287,9.1989271824,50,0,20.83333333,8.333333333,20.83333333,0,0,2.6143713837
16.40723,3065.56,0.712763,12.9572281132,50,0,20.83333333,8.333333333,20.83333333,0,0,3.614033792
16.41862,4281.72,0.789444,8.5728731631,50,0,20.83333333,8.333333333,20.83333333,0,0,2.4187634346
10.14241,6438.99,0.767339,8.379143902,50,0,37.5,8.333333333,4.166666667,0,0,3.083284199
15.19196,5707.02,0.796664,8.6046098543,50,0,37.5,8.333333333,4.166666667,0,0,3.0253618482
16.80339,4139.24,0.720525,10.1931356243,50,0,37.5,8.333333333,4.166666667,0,0,3.2000457563
13.25046,4481.51,0.755347,10.7456081197,50,0,30,15,5,0,0,3.7012640121
10.39052,4780.42,0.760519,11.665464934,50,0,30,15,5,0,0,5.4902834724
8.42145,5427.34,0.775359,11.984516854,50,0,30,15,5,0,0,6.0542399162
6.02695,590.924,0.245682,16.9814583424,50,0,30,15,5,0,0,2.0399013693
10.04031,3938.69,0.752842,13.3681632585,57.89473684,0,21.05263158,15.78947368,5.263157895,0,0,4.4972445317
8.63809,4969.6,0.770626,12.4093727408,57.89473684,0,21.05263158,15.78947368,5.263157895,0,0,5.9275609061
10.96297,4893.27,0.774887,12.0418176242,57.89473684,0,21.05263158,15.78947368,5.263157895,0,0,4.2096261551
16.24837,5190.94,0.776983,10.6377527324,50,0,31.81818182,9.090909091,9.090909091,0,0,3.6313857875
10.12117,4176.67,0.72104,12.4657627171,50,0,31.81818182,9.090909091,9.090909091,0,0,5.176703701
14.3165,4228.86,0.768927,9.7739455899,50,0,31.81818182,9.090909091,9.090909091,0,0,3.2896928369
13.22338,4043.14,0.748208,11.3630102055,55,0,25,10,10,0,0,3.7534191955
