PLD (Å),LCD (Å),Sacc (m2/gr),Porosity,Density (gr/cm3),NH2 - 10 bar (mol/kg)
5.09293,7.89975,3939.32,0.653421,0.585984834,0.2932331506
9.51042,10.71196,4800.08,0.74573,0.447175107,0.4483441979
9.69994,13.75508,4603.63,0.780409,0.443588026,0.4485795878
14.98145,15.79589,3049.27,0.699729,0.544989648,0.3223787279
9.55182,12.50483,3191.46,0.722208,0.570793776,0.3231739481
5.66894,6.04989,3586.85,0.696485,0.687474619,0.2511734489
8.4755,13.02143,5430.38,0.734402,0.425874651,0.4497050995
13.58528,15.9932,3128.52,0.626327,0.515279731,0.316890655
12.62629,13.07808,4859.92,0.756378,0.408945503,0.4767737125
10.53008,12.84576,4952.98,0.799933,0.446709996,0.481125384
7.18797,7.85573,1708.18,0.539031,0.686939478,0.2625982905
7.74551,12.51457,4643.49,0.790955,0.482399914,0.4349620464
6.54077,7.10339,764.537,0.299259,0.838751987,0.1740760322
6.20208,9.08813,5265.23,0.760126,0.525258001,0.3910888129
8.68201,11.75982,5338.33,0.773882,0.447635152,0.4565787675
7.93522,10.36668,5446.94,0.794148,0.448399789,0.4699858538
13.51337,15.77751,4757.49,0.794111,0.465899417,0.4308894639
10.47233,12.66675,4486.09,0.756779,0.484696035,0.421574929
6.2007,9.60536,4402.79,0.751258,0.524333287,0.3834773592
6.18126,9.04255,5318.29,0.776421,0.528087381,0.3959305189
4.11228,6.13197,528.262,0.245763,0.91302795,0.1365966229
9.0204,13.38564,5063.84,0.786182,0.453704309,0.4603946824
12.46095,15.33616,4718.33,0.767933,0.453469625,0.4339393426
7.64776,11.06458,4346.68,0.727254,0.521744937,0.3760750367
8.48667,10.78262,4674.83,0.782604,0.439199115,0.4751646618
9.17161,11.03796,5036.92,0.760588,0.433577036,0.4825830494
6.95131,12.20632,4627.65,0.768234,0.46786711,0.4326742408
7.64382,8.83153,5863.3,0.793351,0.472669339,0.4515005897
6.18142,6.5801,766.891,0.306524,0.817428961,0.1245961997
11.19964,15.1194,4767.2,0.781052,0.409927401,0.4898425549
7.47094,8.6849,3158.55,0.623112,0.614891101,0.2516130135
14.90151,16.9875,4864.18,0.793939,0.427460742,0.4718589705
6.29834,10.01809,4312.27,0.731436,0.552431942,0.3446173825
11.2912,13.9143,4777.94,0.781068,0.444985046,0.450769308
9.73262,15.07407,6137.25,0.795334,0.338689065,0.5972426996
15.3033,16.48861,4719.62,0.724251,0.414229437,0.4501080875
8.07557,10.03963,2655.19,0.799791,0.66420708,0.3522624715
5.16779,6.95787,3991.91,0.734987,0.609847397,0.2789798505
8.88422,14.71155,3827.93,0.772975,0.491133458,0.4255774232
8.71767,14.32862,5370.45,0.799677,0.400300772,0.5319710257
4.37527,5.56825,2412.19,0.631795,0.745798422,0.1424402799
4.33419,6.19935,2063.82,0.584518,0.738643572,0.1849746403
4.19894,5.82412,1984.88,0.58906,0.776418301,0.1735867965
6.65702,8.93342,4927.86,0.786268,0.495246322,0.4342776472
8.56833,11.30642,5101.5,0.759057,0.454843021,0.4511604011
13.18543,16.52827,5148.16,0.786485,0.377540202,0.5282985646
9.82867,10.47289,4400.46,0.700415,0.503386936,0.3741578649
10.14111,12.89294,4342.9,0.765185,0.458903075,0.4432499784
8.17951,9.20646,4760.8,0.755374,0.507400262,0.402796826
10.83758,11.40401,6535.41,0.793695,0.349052678,0.5849690744
9.60544,11.85963,6248.68,0.799213,0.401595706,0.5184208303
9.37936,10.49863,7474.91,0.783877,0.342758175,0.5955795907
8.75228,9.98144,5514.34,0.783031,0.464287322,0.4439654678
9.39134,12.57045,6070.74,0.796652,0.380074525,0.5592365751
8.72137,9.38148,6023.24,0.779741,0.418396097,0.5108639219
7.00169,8.52582,4639.65,0.783416,0.534314079,0.3929620068
10.01545,14.33177,5631.1,0.792303,0.382295422,0.5453157999
7.83116,9.96643,5386.01,0.749133,0.45323979,0.435013019
9.40703,11.76282,5383.49,0.789758,0.440260266,0.4891425074
8.34516,9.79431,5324.91,0.780421,0.484651686,0.4351817268
10.23699,10.5288,4908.58,0.779783,0.465911056,0.4572087305
8.28973,10.06913,5006.43,0.774335,0.511334913,0.404457201
9.4407,11.21532,5947.59,0.767789,0.40138095,0.5192709335
6.37449,8.37947,6551.32,0.764581,0.439034447,0.4657392692
8.4957,10.34588,5749.08,0.770656,0.419344575,0.4899517411
8.74572,10.25312,4269.12,0.724843,0.537834779,0.3514071753
8.51526,11.98256,6646.58,0.792019,0.354190759,0.5807478885
7.63928,8.90636,5953.43,0.76825,0.416863974,0.4935991778
8.76685,10.28615,3760.89,0.739378,0.588787193,0.320790357
10.06536,18.51882,4346.96,0.790461,0.376846834,0.5324823784
8.78197,9.71461,6289.84,0.790722,0.427147471,0.5061257218
6.53823,8.56222,4557.82,0.748663,0.551435989,0.3662721854
9.6878,11.13627,6066.94,0.772337,0.409054734,0.5005859671
6.99856,8.80846,5968.99,0.762271,0.451342903,0.4588138118
9.09081,10.14277,5841.43,0.78157,0.455837041,0.4569219037
12.49851,13.66211,4825.95,0.767321,0.469208345,0.4387528391
10.41657,12.9718,4738.88,0.781417,0.443475154,0.4765108189
7.25611,8.88134,5231.35,0.777174,0.490968881,0.4306893184
8.75369,9.78984,5844.92,0.771242,0.454308482,0.4580777724
8.44129,9.04581,5601.42,0.785231,0.480741579,0.4434896167
8.89836,11.82588,5116.53,0.798934,0.440932593,0.4758663124
8.83923,9.48769,5559,0.79143,0.481767886,0.445514426
8.9098,10.24127,5762.81,0.777562,0.436104383,0.4736301673
8.89244,9.36356,5282.92,0.751355,0.478070359,0.4254597282
7.88375,11.87691,5613.57,0.761203,0.401942257,0.4950937256
6.56745,8.11878,6673.23,0.767708,0.439537645,0.4667212332
9.84906,11.2119,5599.79,0.787906,0.438323673,0.4797641463
8.95497,9.67902,5247.56,0.765416,0.480357572,0.4322771951
10.89038,11.88457,4522.2,0.739827,0.498675933,0.3943613863
9.90528,10.60855,4273.54,0.763462,0.504383714,0.4192943809
7.11918,8.65135,4287.32,0.742538,0.559506869,0.3571183094
7.86907,9.37268,4954.24,0.748809,0.507481288,0.3944193067
9.34163,9.81141,5044.63,0.736434,0.48743391,0.4101495228
8.38001,9.7075,5106.34,0.774776,0.471012581,0.4456972918
8.0939,9.23866,6389.71,0.794241,0.427168038,0.5051026601
9.59902,11.39871,5966.46,0.789194,0.413160291,0.50579335
8.8732,9.59896,6040.33,0.774737,0.455672897,0.4615453786
8.55464,11.29052,5513.3,0.759062,0.42984413,0.4688031288
9.03904,9.81644,5432.57,0.735281,0.472916191,0.4231125591
9.34573,11.18127,4442.35,0.757634,0.499341856,0.4042666283
7.01512,8.57685,4373.91,0.747066,0.551523089,0.3686351238
8.72999,9.18893,4923.15,0.698565,0.480661579,0.3926366459
8.71915,10.6635,6010.15,0.767909,0.402843757,0.5034305566
12.65902,14.24542,5756.36,0.79699,0.41849353,0.5065667877
9.7592,10.94323,5269.04,0.793118,0.486103887,0.4325362915
6.77333,9.86226,4323.02,0.766057,0.536226993,0.3793009917
6.20837,9.30313,4584.58,0.750913,0.520590143,0.3798321753
7.53243,8.95787,5573.98,0.771182,0.428773315,0.4895835243
8.72567,11.18091,4260.22,0.734887,0.455097441,0.4272623891
